ID_Codigo;ID;Anexo;Titulo_Anexo;Item_Anexo;Descritivo;Tratamento;Perc_Reducao;Perc_Aliquota_Aplicavel;Tributo;Tipo_Classificacao;Codigo;Codigo_Normalizado;Nivel_Codigo;Base_Legal;Linha_Agrupadora;Condicionantes_Observacoes
891;708;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;239;MICOFENOLATO DE SÓDIO;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.59;30049059;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
892;709;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;240;MIDAZOLAM;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.69;30049069;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
893;710;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;241;MIDOSTAURINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.79;30049079;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
894;711;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;242;MIFAMURTIDA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.59;30049059;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
895;712;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;243;MITOMICINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.20.91;30042091;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
896;713;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;244;MITOTANO;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.95;30049095;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
897;714;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;245;NEVIRAPINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.68;30049068;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
898;715;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;246;NILOTINIBE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.69;30049069;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
899;716;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;247;NITRENDIPINO;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.69;30049069;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
900;717;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;248;NIVOLUMABE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3002.15.90;30021590;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
901;718;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;249;NUSINERSENA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.79;30049079;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
902;719;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;250;OCRELIZUMABE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3002.15.90;30021590;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
903;720;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;251;OCTREOTIDA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.39.26;30043926;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
